headword,pos,cefr,tier,tier_name,amirnet_level,is_connector,source
abandon,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abandoned,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ability,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
able,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abnormal,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abnormally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aboard,adverb,B1,2,ליבה מורחבת,2-3,true,CEFR-J v1.5
abolish,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aboriginal,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aborigine,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abroad,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
abruptly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
absence,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
absent,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
absentee,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
absolute,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
absolutely,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
absorb,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abstract,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
absurd,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
abundance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abundant,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
abuse,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
academic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
academy,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accent,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accept,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
acceptable,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
acceptance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
access,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accessibility,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
accessible,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accessory,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accident,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
accidental,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accidentally,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accommodation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
accompany,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accomplish,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
according to,preposition,B1,2,ליבה מורחבת,2-3,true,CEFR-J v1.5
accordingly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
account,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
accountant,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accumulate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
accuracy,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accurate,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accurately,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accusation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
accuse,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
accustom,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ache,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
achievable,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
achieve,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
achievement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
acid,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
acknowledge,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
acknowledgment/acknowledgement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
acquaintance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
acquire,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
acquisition,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
across,adverb,A2,1,ליבה,1-2,true,CEFR-J v1.5
act,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
active,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
actively,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
actress,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
actual,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
actually,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
acute,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ad,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adapt,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adaptable,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
addict,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
addicted,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
addiction,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
addition,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
additional,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
additionally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
addressee,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adequate,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adequately,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adjective,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
adjust,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
adjustment,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
administration,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
administrative,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
admirable,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
admiration,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
admire,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
admiringly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
admission,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
admit,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
admittedly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adopt,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adopted,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adoption,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adorable,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adore,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adorn,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adult,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
advance,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
advanced,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
advancement,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
advantage,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
advent,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adventure,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
adventurous,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adverb,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adverbial,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
adverse,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adversely,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
adversity,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
advert,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
advertise,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
advertisement,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
advertising,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
advice,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
advise,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
adviser/advisor,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aerobics,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
affair,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
affect,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
affection,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
affectionate,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
affectionately,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
afford,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
affordable,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
